,Team,Player,Games,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CSPM,Gold,GPM,Kill Participation,Kill Share,Gold Share,Champions Played,Position
79,Kingzone_DragonX,Khan,40,25,15,62.5,2.45,1.83,3.3,3.15,307.15,9.27,13.49,407,56.7,24.1,22.3,15,Top
80,Lgd,Pyl,40,21,19,52.5,1.2,3.23,8.13,2.89,52.38,1.64,8.17,255,67.7,8.7,14.3,8,Supp
81,SKT1,Blank,39,19,20,48.7,1.21,1.97,5.59,3.44,169.0,4.74,10.93,306,73.6,13.1,17.2,10,JG
82,Bbq_Olivers,Ghost (Jang Yong-jun),39,9,30,23.1,1.44,2.08,3.03,2.15,317.08,9.18,13.02,377,65.4,21.1,22.8,10,ADC
83,SKT1,Effort,38,20,18,52.6,1.16,2.45,5.42,2.69,60.13,1.69,8.89,250,69.3,12.2,13.9,8,Supp
84,G-Rex,Koala (Lin Chih-Chiang),38,17,21,44.7,0.76,2.39,6.95,3.22,57.21,1.59,8.59,238,72.5,7.2,13.9,7,Supp
85,G-Rex,PK,38,17,21,44.7,2.0,3.18,4.53,2.04,285.39,7.92,12.95,359,61.4,18.8,21.0,15,Top
86,MVP,Pilot,38,11,27,28.9,1.82,1.47,3.71,3.75,340.39,10.18,13.62,407,76.1,25.0,24.4,14,ADC
87,Lgd,Y4,38,21,17,55.3,3.5,2.42,6.53,4.13,293.03,9.16,13.3,416,71.2,24.9,23.1,10,ADC
88,J_Team,Breaker,37,17,20,45.9,2.14,2.7,7.0,3.38,164.22,4.59,11.05,309,73.6,17.2,17.8,9,JG
89,Rogue_Warriors,Flawless,37,26,11,70.3,1.95,2.73,5.97,2.9,167.16,5.28,10.69,338,61.9,15.2,17.8,10,JG
90,J_Team,FoFo,37,17,20,45.9,3.46,1.78,4.97,4.73,319.38,8.92,14.01,392,68.0,27.9,22.6,15,Mid
91,Bilibili_Gaming,Mole,37,15,22,40.5,3.43,2.59,3.03,2.49,299.16,9.25,13.03,403,64.9,34.5,22.9,13,Mid
92,Rogue_Warriors,Mouse,37,26,11,70.3,2.08,1.89,5.73,4.13,268.95,8.5,12.39,392,61.1,16.3,20.7,10,Top
93,J_Team,Rest,37,17,20,45.9,2.86,2.08,4.97,3.77,299.7,8.37,13.88,388,63.2,23.1,22.3,12,Top
94,Vici,Swift,37,8,29,21.6,2.14,3.38,5.35,2.22,181.03,5.21,11.05,318,71.0,20.3,18.8,13,JG
95,J_Team,Ysera,37,17,20,45.9,0.46,2.97,7.41,2.65,43.22,1.21,8.19,229,63.4,3.7,13.2,9,Supp
96,MVP,ADD,36,10,26,27.8,1.25,2.31,3.56,2.08,302.81,8.86,12.59,369,66.3,17.2,22.1,13,Top
97,MVP,Max (Jeong Jong-bin),36,10,26,27.8,0.67,2.36,4.28,2.09,68.58,2.03,8.29,245,67.2,9.1,14.7,19,Supp
98,We,Mystic,36,17,19,47.2,3.78,2.39,5.08,3.71,357.22,10.26,15.42,443,76.1,32.5,24.8,10,ADC
99,KTRolster,Score,36,25,11,69.4,2.0,1.97,5.39,3.75,191.47,5.2,12.05,327,72.7,19.7,18.0,9,JG
100,Freecs,Spirit,36,21,15,58.3,1.83,1.72,5.31,4.15,177.78,5.05,11.27,320,71.4,18.3,17.8,11,JG
101,Bbq_Olivers,Trick,36,9,27,25.0,1.22,2.25,4.17,2.4,173.22,5.05,10.36,302,77.9,17.7,18.2,12,JG
102,Freecs,Aiming,35,21,14,60.0,2.77,1.46,4.71,5.14,354.49,9.75,15.48,426,71.4,26.4,23.6,10,ADC
103,Bilibili_Gaming,Chieftain,35,15,20,42.9,1.46,2.49,5.31,2.72,163.83,5.02,10.36,317,68.5,14.7,18.0,8,JG
104,Phong_V%C5%A9_Buffalo,BigKoro,34,26,8,76.5,4.06,1.85,6.12,5.49,293.18,9.05,13.95,431,56.0,22.3,21.9,10,ADC
105,MAD_Team,Breeze,34,21,13,61.8,3.32,1.12,4.44,6.95,317.15,9.63,14.15,430,67.0,28.7,24.1,7,ADC
106,Hong_Kong_Attitude,Cyeol,34,19,15,55.9,2.94,2.24,4.32,3.25,322.53,9.11,14.05,397,67.5,27.3,22.3,12,Mid
107,Machi_E-Sports,DeuL,34,15,19,44.1,2.88,1.62,3.76,4.11,356.15,10.07,14.94,422,72.9,31.6,24.4,8,ADC
108,Hong_Kong_Attitude,Erssu,34,19,15,55.9,2.44,2.91,4.53,2.39,310.03,8.76,13.97,395,64.8,22.7,22.2,9,Top
109,Hong_Kong_Attitude,Gemini,34,19,15,55.9,2.47,2.32,4.76,3.11,169.03,4.78,11.32,320,67.2,23.0,18.0,9,JG
110,MAD_Team,K,34,21,13,61.8,0.53,1.44,7.0,5.22,52.09,1.58,8.16,248,65.0,4.6,13.9,7,Supp
111,Hong_Kong_Attitude,Kaiwing,34,19,15,55.9,0.71,1.65,6.68,4.48,67.94,1.92,9.01,254,68.6,6.6,14.3,8,Supp
112,MAD_Team,Kongyue,34,21,13,61.8,2.62,1.65,5.94,5.2,185.97,5.65,11.6,352,73.9,22.6,19.7,7,JG
113,Phong_V%C5%A9_Buffalo,Naul,34,26,8,76.5,3.74,1.88,6.79,5.59,290.65,8.97,13.5,417,57.9,20.6,21.2,10,Mid
114,Phong_V%C5%A9_Buffalo,Palette,34,26,8,76.5,1.88,2.06,10.68,6.1,56.91,1.76,9.29,287,69.1,10.4,14.6,12,Supp
115,MAD_Team,Uniboy,34,21,13,61.8,3.12,1.12,5.09,7.34,282.24,8.57,12.85,390,70.8,26.9,21.9,9,Mid
116,Hong_Kong_Attitude,Unified,34,19,15,55.9,2.21,1.85,4.68,3.71,344.68,9.74,14.57,412,63.9,20.5,23.2,11,ADC
117,Phong_V%C5%A9_Buffalo,Zeros,34,26,8,76.5,4.59,2.82,6.0,3.75,316.74,9.78,14.83,458,58.3,25.2,23.3,10,Top
118,Team_Afro,Zest (Hsieh Ming-Hsuan),34,11,23,32.4,0.32,2.59,6.29,2.56,39.12,1.07,7.8,214,70.3,3.4,12.9,11,Supp
119,FunPlus_Phoenix,Alex,33,16,17,48.5,2.82,2.48,6.64,3.8,185.3,5.31,11.65,334,72.2,21.5,18.8,8,JG
120,Vici,Caveman,33,6,27,18.2,1.09,3.58,6.03,1.99,50.76,1.54,7.74,235,70.6,10.8,14.0,8,Supp
121,Griffin,Chovy,33,23,10,69.7,3.48,0.94,5.03,9.06,353.03,9.73,15.16,418,71.1,29.1,22.8,11,Mid
122,Cube_Adonis,EasyLove,33,20,13,60.6,4.06,2.67,5.73,3.67,296.52,9.85,13.4,445,55.8,23.1,23.3,10,ADC
123,Cherry_Esports,Hari,33,10,23,30.3,3.06,4.0,4.18,1.81,243.24,8.64,11.2,398,52.6,22.2,22.3,12,Top
124,FTV_Esports,Knight (Vũ Hồng Sơn),33,12,21,36.4,3.39,4.42,6.45,2.23,141.94,5.08,9.79,350,67.3,23.2,19.5,12,JG
125,Royal_Never_Give_Up,Letme,33,21,12,63.6,2.58,1.61,5.27,4.88,303.61,8.37,13.88,383,60.1,19.7,21.0,12,Top
126,Snake_Esports,Light (Wang Guang-Yu),33,13,20,39.4,2.36,2.0,4.42,3.39,331.7,9.69,13.6,397,65.9,22.9,22.8,10,ADC
127,Cube_Adonis,Pake,33,20,13,60.6,4.3,2.48,5.45,3.93,271.3,9.01,12.79,425,55.6,24.5,22.2,8,Mid
128,EVOS_Esports,RonOP,33,20,13,60.6,1.67,2.61,7.85,3.65,44.3,1.49,7.76,260,65.0,11.4,13.9,10,Supp
129,EVOS_Esports,Slay,33,20,13,60.6,3.55,2.12,5.52,4.26,276.88,9.29,12.7,426,61.9,24.2,22.7,11,ADC
130,Cube_Adonis,Sorn,33,20,13,60.6,4.18,3.52,7.45,3.31,160.21,5.32,11.3,375,66.3,23.8,19.6,8,JG
131,FTV_Esports,Taurus,33,12,21,36.4,2.42,3.94,5.06,1.9,215.76,7.72,10.36,370,51.1,16.6,20.6,7,Top
